name,description,price,image_url,category_slug,stock,features
Pulsera Clásica Dorada,Elegante pulsera con diseño tradicional en balinería y acabado dorado de alta calidad. Perfecta para ocasiones formales y uso diario.,125000.0,/assets/images/balines dorados.jpeg,pulsos,20,"[""Material: Acero inoxidable con baño de oro"", ""Técnica: Balinería tradicional"", ""Cierre: Seguro de resorte"", ""Ajuste: Universal para muñecas de 15-18 cm"", ""Garantía: 1 año contra defectos de fabricación""]"
Pulsera Van Cleef Dorada,Diseño contemporáneo con balinería de diferentes tamaños y acabado plateado brillante. Ideal para quienes buscan un estilo moderno y sofisticado.,165000.0,/assets/images/van cleef dorada.jpeg,pulsos,15,"[""Material: Acero quirúrgico 316L"", ""Técnica: Balinería multiformato"", ""Cierre: Doble seguro magnético"", ""Ajuste: Personalizable"", ""Resistente al agua y al sudor""]"
Pulsera Van Cleef Negra,Edición especial con balinería de alta gama y detalles únicos en acabado dorado rosa. Una pieza exclusiva para ocasiones especiales.,150000.0,/assets/images/van cleef negra.jpeg,pulsos,10,"[""Material: Acero inoxidable con baño de oro rosa"", ""Técnica: Balinería premium de precisión"", ""Cierre: Seguro de lujo con doble mecanismo"", ""Incluye: Estuche de regalo premium"", ""Garantía: 2 años""]"
Pulsera Van Cleef Roja,Diseño vanguardista con patrones geométricos en acabado negro mate resistente. Para quienes buscan un estilo urbano y contemporáneo.,150000.0,/assets/images/van cleef roja.jpeg,pulsos,12,"[""Material: Acero con recubrimiento PVD negro"", ""Técnica: Balinería geométrica artesanal"", ""Cierre: Seguro deslizante ajustable"", ""Resistente: A rayaduras y desgaste"", ""Estilo: Unisex""]"
Anillo Clásico Dorado,Anillo tradicional con diseño en balinería y acabado dorado de larga duración. Elegancia atemporal para cualquier ocasión.,50000.0,/assets/images/AnilloDiseñoExclusivo.jpg,anillos,30,"[""Material: Acero inoxidable con baño de oro"", ""Técnica: Balinería tradicional"", ""Tallas disponibles: 12-20"", ""Acabado: Brillante de alta resistencia"", ""Incluye: Estuche de regalo""]"
Anillo Tres Carriles Diamantado,Diseño contemporáneo con detalles únicos en balinería y acabado plateado brillante. Perfecto para complementar tu estilo personal.,75000.0,/assets/images/AnilloTresCarriles.jpg,anillos,25,"[""Material: Acero quirúrgico 316L"", ""Técnica: Balinería con diseño asimétrico"", ""Tallas disponibles: 12-20"", ""Acabado: Plateado brillante resistente"", ""Garantía: 1 año""]"
Anillo Tres Carriles Liso,Diseño contemporáneo con dije central en balinería y cadena ajustable. Una pieza versátil que combina con cualquier estilo.,50000.0,/assets/images/AnilloTresCarrilesLiso.jpg,anillos,25,"[""Material: Acero inoxidable con baño de plata"", ""Longitud: Cadena ajustable 40-50 cm"", ""Dije: Diseño en balinería de 3 cm"", ""Cierre: Seguro de resorte"", ""Resistente: Al agua y la oxidación""]"
Manilla 7 Balines Diamantada,Edición limitada con diseño exclusivo y detalles en balinería de alta calidad. La pieza perfecta para hacer una declaración de estilo.,120000.0,/assets/images/Manilla7BalinesDiamantada.jpg,manillas,8,"[""Material: Acero quirúrgico premium"", ""Longitud: 45 cm con extensión de 5 cm"", ""Dije: Diseño exclusivo en balinería"", ""Cierre: Seguro de doble bloqueo"", ""Incluye: Certificado de autenticidad""]"
Manilla Bolsa Dinero,Edición limitada con diseño exclusivo y detalles en balinería de alta calidad. La pieza perfecta para hacer una declaración de estilo.,120000.0,/assets/images/ManillaBolsaDinero.jpg,manillas,10,"[""Material: Acero quirúrgico premium"", ""Longitud: 45 cm con extensión de 5 cm"", ""Dije: Diseño exclusivo en balinería"", ""Cierre: Seguro de doble bloqueo"", ""Incluye: Certificado de autenticidad""]"
Manilla Diamantada Centrado,Edición limitada con diseño exclusivo y detalles en balinería de alta calidad. La pieza perfecta para hacer una declaración de estilo.,120000.0,/assets/images/ManillaDiamantadaCentro.jpg,manillas,10,"[""Material: Acero quirúrgico premium"", ""Longitud: 45 cm con extensión de 5 cm"", ""Dije: Diseño exclusivo en balinería"", ""Cierre: Seguro de doble bloqueo"", ""Incluye: Certificado de autenticidad""]"
Manilla Dollar,Edición limitada con diseño exclusivo y detalles en balinería de alta calidad. La pieza perfecta para hacer una declaración de estilo.,150000.0,/assets/images/ManillaDollar.jpg,manillas,7,"[""Material: Acero quirúrgico premium"", ""Longitud: 45 cm con extensión de 5 cm"", ""Dije: Diseño exclusivo en balinería"", ""Cierre: Seguro de doble bloqueo"", ""Incluye: Certificado de autenticidad""]"
Manilla Full Balin Liso,Edición limitada con diseño exclusivo y detalles en balinería de alta calidad. La pieza perfecta para hacer una declaración de estilo.,115000.0,/assets/images/ManillaFullBalinLiso.jpg,manillas,12,"[""Material: Acero quirúrgico premium"", ""Longitud: 45 cm con extensión de 5 cm"", ""Dije: Diseño exclusivo en balinería"", ""Cierre: Seguro de doble bloqueo"", ""Incluye: Certificado de autenticidad""]"
